year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,ND,38017,Cass,5677,4100,530,9.34,3021,1408,1248,53.21,24.8,4656,581,437,3,0,82.02,10.23,7.7,3434,375,288,3,0,83.76,9.15,7.02,national
2025,ND,38015,Burleigh,2981,2202,268,8.99,1541,697,743,51.69,23.38,2477,291,208,5,0,83.09,9.76,6.98,1857,203,138,4,0,84.33,9.22,6.27,national
2025,ND,38101,Ward,1956,1378,189,9.66,1039,629,288,53.12,32.16,1186,232,534,4,0,60.63,11.86,27.3,851,152,374,1,0,61.76,11.03,27.14,national
2025,ND,38035,Grand Forks,1705,1263,161,9.44,928,445,332,54.43,26.1,1334,163,201,7,0,78.24,9.56,11.79,1002,115,140,6,0,79.33,9.11,11.08,national
2025,ND,38059,Morton,1075,757,112,10.42,564,256,255,52.47,23.81,841,139,93,2,0,78.23,12.93,8.65,606,91,59,1,0,80.05,12.02,7.79,national
2025,ND,38089,Stark,1100,721,154,14.0,638,286,176,58.0,26.0,745,238,88,29,0,67.73,21.64,8.0,492,150,59,20,0,68.24,20.8,8.18,national
2025,ND,38105,Williams,1158,712,199,17.18,584,341,233,50.43,29.45,771,267,113,7,0,66.58,23.06,9.76,472,167,67,6,0,66.29,23.46,9.41,national
2025,ND,38093,Stutsman,573,386,90,15.71,223,177,173,38.92,30.89,481,60,28,4,0,83.94,10.47,4.89,335,32,18,1,0,86.79,8.29,4.66,national
2025,ND,38077,Richland,464,313,74,15.95,198,134,132,42.67,28.88,359,56,40,9,0,77.37,12.07,8.62,247,34,25,7,0,78.91,10.86,7.99,national
2025,ND,38053,McKenzie,409,226,76,18.58,212,142,55,51.83,34.72,261,116,32,0,0,63.81,28.36,7.82,141,71,14,0,0,62.39,31.42,6.19,national
2025,ND,38055,McLean,248,168,32,12.9,142,72,34,57.26,29.03,193,30,22,3,0,77.82,12.1,8.87,136,17,13,2,0,80.95,10.12,7.74,national
2025,ND,38003,Barnes,223,162,18,8.07,108,62,53,48.43,27.8,187,19,16,1,0,83.86,8.52,7.17,137,12,12,1,0,84.57,7.41,7.41,national
2025,ND,38071,Ramsey,246,158,42,17.07,121,74,51,49.19,30.08,179,27,37,3,0,72.76,10.98,15.04,120,13,22,3,0,75.95,8.23,13.92,national
2025,ND,38097,Traill,217,155,24,11.06,113,62,42,52.07,28.57,170,24,19,4,0,78.34,11.06,8.76,124,16,15,0,0,80.0,10.32,9.68,national
2025,ND,38057,Mercer,191,148,15,7.85,108,38,45,56.54,19.9,146,23,15,7,0,76.44,12.04,7.85,115,16,12,5,0,77.7,10.81,8.11,national
2025,ND,38099,,202,120,41,20.3,86,78,38,42.57,38.61,151,29,22,0,0,74.75,14.36,10.89,94,15,11,0,0,78.33,12.5,9.17,national
2025,ND,38061,Mountrail,150,95,17,11.33,91,34,25,60.67,22.67,98,34,14,4,0,65.33,22.67,9.33,65,20,7,3,0,68.42,21.05,7.37,national
2025,ND,38025,Dunn,88,57,10,11.36,37,38,13,42.05,43.18,62,13,10,3,0,70.45,14.77,11.36,43,7,4,3,0,75.44,12.28,7.02,national
